U_ID,NEG_ID,REQ_ID,Price,Bid Time,Reject_Reason,Surrogate_id,Surrogate_comments,REQ_ID,ITEM_ID,PRODUCT_NAME,PRICE,REVISED_PRICE,UNIT_PRICE,REV_UNIT_PRICE,BID_TIME,TYPE
12821,24111,69796,null,null,49743.0,552.7,552.7,63988,5471,21825.0,null,null,0.0,null,null,null
12821,15039,44722,null,null,0.0,0.0,0.0,69267,6247,63600.0,null,null,0.0,null,null,null
12821,15039,44721,null,null,4560.0,152.0,152.0,70151,6247,75250.0,null,null,0.0,null,null,null
12821,15039,44720,null,null,37800.0,630.0,630.0,70213,6247,75250.0,null,null,null,null,null,null
12821,15092,44833,null,null,24200.0,11.0,11.0,70218,6247,75250.0,null,null,null,null,null,null
12821,15143,44969,null,null,24200.0,11.0,11.0,70263,6419,485.0,null,null,0.0,null,null,null
12821,15207,45183,null,null,24200.0,11.0,11.0,70359,6419,390.0,null,null,0.0,null,null,null
12821,25078,72035,null,null,67900.0,485.0,450.0,70372,6419,390.0,null,null,0.0,null,null,null
12821,25078,72035,null,null,67900.0,485.0,485.0,70833,6419,390.0,null,null,null,null,null,null
12821,15407,45973,null,null,0.0,0.0,0.0,71400,6577,7820.0,null,null,0.0,null,null,null
12821,15407,45972,null,null,15500.0,155.0,155.0,71957,6654,200.0,null,null,0.0,null,null,null
12821,25372,72835,null,null,3858.6,2.18,2.18,71958,6654,200.0,null,null,null,null,null,null
12821,15913,47493,null,null,1200.0,0.6,0.6,71959,6654,310.0,null,null,0.0,null,null,null
12821,16129,48176,null,null,3000.0,0.6,0.6,71969,6654,310.0,null,null,null,null,null,null
12821,16172,48269,null,null,3200.0,16.0,16.0,71970,6654,300.0,null,null,null,null,null,null
12821,16200,48338,null,null,0.0,0.0,0.0,71976,6577,7820.0,null,null,null,null,null,null
12821,16200,48337,null,null,10000.0,100.0,100.0,71977,6577,7820.0,null,null,null,null,null,null
12821,16449,49028,null,null,0.0,0.0,0.0,72001,6577,7660.0,null,null,null,null,null,null
12821,16449,49027,null,null,63000.0,630.0,630.0,77053,7495,20650.0,null,null,0.0,null,null,null
12821,16433,48999,null,null,16500.0,1.65,1.65,77054,7495,20650.0,null,null,0.0,null,null,null
12821,16868,50237,null,null,660.0,1.32,1.32,77126,7495,20650.0,null,null,null,null,null,null
